,y_true,y_fitted,y_predicted
2023-03-31,938.0700000000002,809.988077186936,
2023-04-30,-143.71000000000004,-311.22453044078054,
2023-05-31,-71.57999999999993,-261.4206556889058,
2023-06-30,24.579999999999927,-59.592856062944875,
2023-07-31,-25.980000000000018,-10.34953582413145,
2023-08-31,30.59999999999991,205.84005928864661,
2023-09-30,126.14000000000033,137.1073941086665,
2023-10-31,-222.55000000000018,-216.26975910777125,
2023-11-30,184.30999999999995,270.1301927460849,
2023-12-31,106.47000000000025,,487.13998143399925
2024-01-31,31.929999999999836,,236.58810367001058
2024-02-29,-869.69,,-283.52129079384764
2024-03-31,589.3000000000002,,199.9279066703898
2024-04-30,128.75999999999976,,374.021910736719
2024-05-31,105.07000000000016,,-139.63717504019354
2024-06-30,55.539999999999964,,251.05232758291686
